id,name,latitude,longitude,district,address,dmrcaRegistrationNo,confidence,verificationStatus,verifiedAt,womenPrayer,parking,airConditioning,wudu,jummah,notes,sourceTypes,nsdiId,osmId,sourcesJson
nsdi-14017,,5.939290519000053,80.61350948300003,Matara,,,low,unverified,,,,,,,,nsdi,14017,,"[{""type"": ""nsdi"", ""id"": ""14017"", ""buildingId"": ""9100698"", ""originalName"": null, ""latitude"": 5.939290519000053, ""longitude"": 80.61350948300003, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-14025,,5.94096346200007,80.56366372300005,Matara,,,low,unverified,,,,,,,,nsdi,14025,,"[{""type"": ""nsdi"", ""id"": ""14025"", ""buildingId"": ""9100673"", ""originalName"": ""Mosque"", ""latitude"": 5.94096346200007, ""longitude"": 80.56366372300005, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-14031,,5.941893500000049,80.56365200000005,Matara,,,low,unverified,,,,,,,,nsdi,14031,,"[{""type"": ""nsdi"", ""id"": ""14031"", ""buildingId"": ""9100676"", ""originalName"": null, ""latitude"": 5.941893500000049, ""longitude"": 80.56365200000005, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-14040,,5.943828722000035,80.55832527400008,Matara,,,low,unverified,,,,,,,,nsdi,14040,,"[{""type"": ""nsdi"", ""id"": ""14040"", ""buildingId"": ""9100691"", ""originalName"": ""Mosque"", ""latitude"": 5.943828722000035, ""longitude"": 80.55832527400008, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-14054,Mohadeen Jumma Mosque,5.946284457000047,80.55238879200004,Matara,,,low,needs_review,,,,,,,"A low-confidence DMRCA candidate exists (registrationNo=R/0404/MR/15, name='MOHIDEEN JUMMA MOSQUE', score=87.5) — not linked, needs manual review.",nsdi,14054,,"[{""type"": ""nsdi"", ""id"": ""14054"", ""buildingId"": ""9100643"", ""originalName"": ""Mohadeen Jumma Mosque"", ""latitude"": 5.946284457000047, ""longitude"": 80.55238879200004, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-14059,Hawulana Kamakana Mosque,5.947552427000062,80.54477473900005,Matara,,,low,unverified,,,,,,,,nsdi,14059,,"[{""type"": ""nsdi"", ""id"": ""14059"", ""buildingId"": ""9100609"", ""originalName"": ""Hawulana Kamakana Mosque"", ""latitude"": 5.947552427000062, ""longitude"": 80.54477473900005, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-14061,Sindar Shake Madar Mosque,5.947822441000028,80.54239378600005,Matara,,,low,needs_review,,,,,,,"An ambiguous OSM candidate exists (way/497169972, name='Meerah Jumma Masjid', 148.0m away) — Nearest OSM mosque is 148m away, but its name ('Meerah Jumma Masjid') doesn't resemble the NSDI name ('Sindar Shake Madar Mosque') — possible name conflict / two distinct nearby mosques. Not linked, needs manual review.",nsdi,14061,,"[{""type"": ""nsdi"", ""id"": ""14061"", ""buildingId"": ""9100588"", ""originalName"": ""Sindar Shake Madar Mosque"", ""latitude"": 5.947822441000028, ""longitude"": 80.54239378600005, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-14149,Mohideen Jumma Musdeen Mosque,5.971547075000046,80.69638432500005,Matara,,,low,needs_review,,,,,,,"A low-confidence DMRCA candidate exists (registrationNo=R/0275/MR/06, name='MOHIDEEN JUMMA MOSQUE', score=100.0) — not linked, needs manual review.",nsdi,14149,,"[{""type"": ""nsdi"", ""id"": ""14149"", ""buildingId"": ""9100545"", ""originalName"": ""Mohideen Jumma Musdeen Mosque"", ""latitude"": 5.971547075000046, ""longitude"": 80.69638432500005, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-14170,,5.977157359000046,80.42665338700004,Matara,,,low,unverified,,,,,,,,nsdi,14170,,"[{""type"": ""nsdi"", ""id"": ""14170"", ""buildingId"": ""9100400"", ""originalName"": """", ""latitude"": 5.977157359000046, ""longitude"": 80.42665338700004, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-14179,,5.980065502000059,80.43080820400007,Matara,,,low,unverified,,,,,,,,nsdi,14179,,"[{""type"": ""nsdi"", ""id"": ""14179"", ""buildingId"": ""9100413"", ""originalName"": ""Mosque"", ""latitude"": 5.980065502000059, ""longitude"": 80.43080820400007, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-14188,,5.983506114000022,80.43767216800006,Matara,,,low,unverified,,,,,,,,nsdi,14188,,"[{""type"": ""nsdi"", ""id"": ""14188"", ""buildingId"": ""9100351"", ""originalName"": null, ""latitude"": 5.983506114000022, ""longitude"": 80.43767216800006, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-14192,,5.984319517000074,80.43329028300008,Matara,,,low,unverified,,,,,,,,nsdi,14192,,"[{""type"": ""nsdi"", ""id"": ""14192"", ""buildingId"": ""9100404"", ""originalName"": null, ""latitude"": 5.984319517000074, ""longitude"": 80.43329028300008, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-14205,Kapuwatta Jumma Mosque,5.987207241000021,80.44521986600006,Matara,,,low,unverified,,,,,,,,nsdi,14205,,"[{""type"": ""nsdi"", ""id"": ""14205"", ""buildingId"": ""9100431"", ""originalName"": ""Kapuwatta Jumma Mosque"", ""latitude"": 5.987207241000021, ""longitude"": 80.44521986600006, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-14212,Hasan Hsseiyan Mosque,5.989142697000034,80.44371525400004,Matara,,,low,needs_review,,,,,,,"A low-confidence DMRCA candidate exists (registrationNo=R/0488/MR/18, name='HASSAN HUSSAIN MOSQUE', score=78.6) — not linked, needs manual review.",nsdi,14212,,"[{""type"": ""nsdi"", ""id"": ""14212"", ""buildingId"": ""9100414"", ""originalName"": ""Hasan Hsseiyan Mosque"", ""latitude"": 5.989142697000034, ""longitude"": 80.44371525400004, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-14216,Maduragoda Jumma Mosque,5.991980890000036,80.44589437400003,Matara,,,low,unverified,,,,,,,,nsdi,14216,,"[{""type"": ""nsdi"", ""id"": ""14216"", ""buildingId"": ""9100446"", ""originalName"": ""Maduragoda Jumma Mosque"", ""latitude"": 5.991980890000036, ""longitude"": 80.44589437400003, ""district"": ""Matara"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
