priorityRank,reviewType,priorityReason,id,name,district,address,dmrcaRegistrationNo,latitude,longitude,confidence,notes
1,quick_confirm,"3 source(s) (nsdi,dmrca,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-16027,BAITHUL MUBARAK BUKHARI THAKKIYA,Kalutara,"MALIGAWATTE, MALIGAHENA",R/807/KL.42,6.577581781000049,80.14738434400005,high,
2,quick_confirm,"3 source(s) (nsdi,dmrca,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-17967,AL - MASJIDUL MUNEER,Ampara,"HIDAYAPURAM,",R/1322/AM/94,6.878538936000041,81.83902609100005,high,
3,quick_confirm,"3 source(s) (nsdi,dmrca,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-18539,MARADANA MOSQUE,Colombo,"MARADANA ROAD, MARADANA",R/1691/C.169,6.927698218000046,79.86400188400006,high,
4,quick_confirm,"3 source(s) (nsdi,dmrca,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-18963,THALDUWA JUMMA MOSQUE,Kegalle,THALDUWA,R/0161/KD/15,6.9567516390000605,80.22037612500003,high,
5,quick_confirm,"3 source(s) (nsdi,dmrca,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-19030,MUTWAL JUMMA MOSQUE,Colombo,"74, MUTUWELLA MAWATHA",R/88/C.17,6.962547162000021,79.86400237600003,high,
6,quick_confirm,"3 source(s) (nsdi,dmrca,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-20227,RADDOLUGAMA JUMMAH MOSQUE,Gampaha,RADDOLUGAMA,R/2090/GM 74,7.142447634000064,79.89760081500003,high,
7,quick_confirm,"3 source(s) (nsdi,dmrca,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-21297,KATUKELLE JUMMA MOSQUE,Kandy,"396/16, PERADENIYA ROAD",R/592/K.78,7.286011452000025,80.62347414900006,high,
8,quick_confirm,"3 source(s) (nsdi,dmrca,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-21883,AL MASJITHUL ILAHI,Ampara,SENGAMAM,R/1993/AM/199,7.356948665000061,81.77941154900003,high,
9,conflict_to_resolve,"2 source(s) (nsdi,osm), high confidence — has an unresolved candidate to adjudicate.",nsdi-14694,PORWAI JUMMAH MOSQUE,Matara,,,6.1237136480000345,80.48443800100006,high,"A low-confidence DMRCA candidate exists (registrationNo=R/0356/MR/11, name='PORWAI MOHIDEEN MOSQUE', score=84.8) — not linked, needs manual review."
10,conflict_to_resolve,"2 source(s) (nsdi,osm), high confidence — has an unresolved candidate to adjudicate.",nsdi-15683,Ketchimale Mosque,Kalutara,,,6.473074736000058,79.97639513700005,high,"A low-confidence DMRCA candidate exists (registrationNo=R/540/KL.33, name='KACHCHIMALAI SHRINE', score=72.7) — not linked, needs manual review."
